t=7804.68s | axis_2 | normal → alert | residual=19.15
t=7806.60s | axis_2 | alert → normal | residual=0.76
t=7870.87s | axis_2 | normal → alert | residual=11.50
t=7872.86s | axis_2 | alert → normal | residual=-7.89
t=8007.85s | axis_2 | normal → error | residual=25.49
t=8009.78s | axis_2 | error → normal | residual=-8.57
t=8142.75s | axis_2 | normal → alert | residual=14.99
t=8144.66s | axis_2 | alert → normal | residual=9.46
t=8194.12s | axis_2 | normal → alert | residual=10.79
t=8195.99s | axis_2 | alert → normal | residual=-3.98
t=8205.51s | axis_2 | normal → alert | residual=18.91
t=8209.38s | axis_2 | alert → normal | residual=-6.04
t=8254.72s | axis_2 | normal → error | residual=28.11
t=8256.73s | axis_2 | error → normal | residual=-7.94
t=8258.64s | axis_2 | normal → alert | residual=12.05
t=8260.52s | axis_2 | alert → normal | residual=4.46
t=8268.11s | axis_2 | normal → alert | residual=10.18
t=8269.95s | axis_2 | alert → error | residual=20.00
t=8271.85s | axis_2 | error → alert | residual=18.99
t=8273.68s | axis_2 | alert → normal | residual=-7.83
t=8305.91s | axis_2 | normal → error | residual=26.90
t=8307.77s | axis_2 | error → normal | residual=0.02
t=8321.05s | axis_2 | normal → alert | residual=12.49
t=8322.98s | axis_2 | alert → normal | residual=-7.74
t=8363.16s | axis_2 | normal → alert | residual=10.56
t=8365.09s | axis_2 | alert → normal | residual=0.46
t=8408.74s | axis_2 | normal → alert | residual=15.77
t=8414.30s | axis_2 | alert → normal | residual=1.47
t=8524.15s | axis_2 | normal → alert | residual=13.79
t=8526.08s | axis_2 | alert → normal | residual=-9.28
t=8562.37s | axis_2 | normal → error | residual=31.95
t=8564.26s | axis_2 | error → normal | residual=-8.72
t=8566.18s | axis_2 | normal → alert | residual=11.65
t=8568.08s | axis_2 | alert → normal | residual=2.19
t=8577.58s | axis_2 | normal → alert | residual=17.74
t=8579.56s | axis_2 | alert → normal | residual=2.71
t=8623.42s | axis_2 | normal → alert | residual=15.14
t=8627.24s | axis_2 | alert → normal | residual=9.43
t=8713.81s | axis_2 | normal → alert | residual=12.80
t=8715.73s | axis_2 | alert → normal | residual=-3.17
t=8723.42s | axis_2 | normal → error | residual=20.50
t=8725.30s | axis_2 | error → normal | residual=2.38
t=8729.17s | axis_2 | normal → alert | residual=11.95
t=8731.09s | axis_2 | alert → normal | residual=5.44
t=8782.44s | axis_2 | normal → alert | residual=17.28
t=8784.37s | axis_2 | alert → normal | residual=9.59
t=8830.18s | axis_2 | normal → error | residual=33.65
t=8832.13s | axis_2 | error → normal | residual=-8.66
t=8834.09s | axis_2 | normal → alert | residual=14.10
t=8836.05s | axis_2 | alert → normal | residual=2.55
t=8845.81s | axis_2 | normal → alert | residual=14.33
t=8847.69s | axis_2 | alert → normal | residual=-7.61
t=8881.65s | axis_2 | normal → error | residual=20.18
